Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1015       4754       0          3467       4.68
structure_refs      237        105        0          3          0.44
biomes              237        117        0          89         0.49
terrain             237        591        1          64         2.49
surface             237        289        0          67         1.22
air_carvers         228        1537       3          189        6.74
fluid_carvers       228        21         0          1          0.09
decoration          122        1769       4          191        14.50
mob_spawns          36         7          0          4          0.19
structure_searches  0          0          0          0          0.00
Sum                                                             30.86
