Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    8985       4661       0          1634       0.52
structure_refs      5065       1106       0          52         0.22
biomes              5065       1309       0          170        0.26
terrain             5065       8831       0          82         1.74
surface             5065       4733       0          71         0.93
air_carvers         5065       28689      2          122        5.66
fluid_carvers       5065       74         0          0          0.01
decoration          4645       29370      2          139        6.32
mob_spawns          4237       554        0          64         0.13
structure_searches  0          0          0          0          0.00
Sum                                                             15.81
