Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    5080       1547       0          1029       0.30
structure_refs      3243       434        0          56         0.13
biomes              3243       3754       0          444        1.16
terrain             3243       5309       0          110        1.64
surface             3243       1801       0          20         0.56
air_carvers         3243       1703       0          45         0.53
fluid_carvers       3241       44         0          2          0.01
decoration          3035       14849      1          218        4.89
mob_spawns          2831       239        0          15         0.08
structure_searches  0          0          0          0          0.00
Sum                                                             9.30
